title,source_url,local_path,extraction_method
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,data\processed_text\Mice in BionM 1 space mission training and selecti.txt,HTML_EXTRACTION
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,data\processed_text\Microgravity induces pelvic bone loss through oste.txt,HTML_EXTRACTION
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,data\processed_text\Stem Cell Health and Tissue Regeneration in Microg.txt,HTML_EXTRACTION
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,data\processed_text\Microgravity Reduces the Differentiation and Regen.txt,HTML_EXTRACTION
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,data\processed_text\Microgravity validation of a novel system for RNA .txt,HTML_EXTRACTION
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,data\processed_text\Spaceflight Modulates the Expression of Key Oxidat.txt,HTML_EXTRACTION
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,data\processed_text\Dose and IonDependent Effects in the Oxidative Str.txt,HTML_EXTRACTION
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,data\processed_text\From the bench to exploration medicine NASA life s.txt,HTML_EXTRACTION
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,data\processed_text\Highprecision method for cyclic loading of smallan.txt,HTML_EXTRACTION
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,data\processed_text\Effects of ex vivo ionizing radiation on collagen .txt,HTML_EXTRACTION
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,data\processed_text\Absence of gammasarcoglycan alters the response of.txt,HTML_EXTRACTION
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,data\processed_text\AtRabD2b and AtRabD2c have overlapping functions i.txt,HTML_EXTRACTION
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,data\processed_text\TNO1 is involved in salt tolerance and vacuolar tr.txt,HTML_EXTRACTION
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,data\processed_text\Functional redundancy between transGolgi network S.txt,HTML_EXTRACTION
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,data\processed_text\Root growth movements Waving and skewing.txt,HTML_EXTRACTION
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,data\processed_text\Gravitropism and lateral root emergence are depend.txt,HTML_EXTRACTION
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,data\processed_text\TNO1 a TGNlocalized SNAREinteracting protein modul.txt,HTML_EXTRACTION
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,data\processed_text\The Drosophila SUN protein Spag4 cooperates with t.txt,HTML_EXTRACTION
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,data\processed_text\Toll mediated infection response is altered by gra.txt,HTML_EXTRACTION
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,data\processed_text\Multiomics analysis of multiple missions to space .txt,HTML_EXTRACTION
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,data\processed_text\GeneLab database analyses suggest longterm impact .txt,HTML_EXTRACTION
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,data\processed_text\FAIRness and usability for openaccess omics data s.txt,HTML_EXTRACTION
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,data\processed_text\NASA GeneLab platform utilized for biological resp.txt,HTML_EXTRACTION
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,data\processed_text\Circulating miRNA spaceflight signature reveals ta.txt,HTML_EXTRACTION
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,data\processed_text\Machine learning algorithm to characterize antimic.txt,HTML_EXTRACTION
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,data\processed_text\Extraterrestrial Gynecology Could Spaceflight Incr.txt,HTML_EXTRACTION
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,data\processed_text\Muscle atrophy phenotype gene expression during sp.txt,HTML_EXTRACTION
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,data\processed_text\Chromosomal positioning and epigenetic architectur.txt,HTML_EXTRACTION
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,data\processed_text\A comprehensive SARSCoV2 and COVID19 review Part 2.txt,HTML_EXTRACTION
